date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:53	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
10:35:54	28407/28407	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2011:33:17%20GMT	https://colorlib.com/preview/theme/primelaw/	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/index.html	(from )
10:35:54	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225bc3299a-24fb%22	https://colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:54	56663/56663	---MCZ	200	added ('OK')	text/css	etag:W/%225bc32988-11fa9%22	https://colorlib.com/preview/theme/primelaw/css/animate.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/animate.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:54	3440/3440	---MCZ	200	added ('OK')	text/css	etag:W/%225bc32999-d70%22	https://colorlib.com/preview/theme/primelaw/css/owl.carousel.min.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:54	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225bc3299a-3c5%22	https://colorlib.com/preview/theme/primelaw/css/owl.theme.default.min.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:55	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225bc32998-1b26%22	https://colorlib.com/preview/theme/primelaw/css/magnific-popup.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/magnific-popup.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:55	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%225bc3298a-657f%22	https://colorlib.com/preview/theme/primelaw/css/aos.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/aos.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:55	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225bc32998-b6e0%22	https://colorlib.com/preview/theme/primelaw/css/ionicons.min.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/ionicons.min.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:55	16329/16329	---MCZ	200	added ('OK')	text/css	etag:W/%225bc3298a-4619%22	https://colorlib.com/preview/theme/primelaw/css/bootstrap-datepicker.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:55	1426/1426	---MCZ	200	added ('OK')	text/css	etag:W/%225bc32997-634%22	https://colorlib.com/preview/theme/primelaw/css/jquery.timepicker.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/jquery.timepicker.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:56	1064/1064	---MCZ	200	added ('OK')	text/css	etag:W/%225bc3298c-553%22	https://colorlib.com/preview/theme/primelaw/css/flaticon.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/flaticon.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:56	66594/66594	---MCZ	200	added ('OK')	text/css	etag:W/%225bc32994-13803%22	https://colorlib.com/preview/theme/primelaw/css/icomoon.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/icomoon.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:57	190462/190462	---MCZ	200	added ('OK')	text/css	etag:W/%225bc329a0-3a56a%22	https://colorlib.com/preview/theme/primelaw/css/style.css	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/css/style.css	(from https://colorlib.com/preview/theme/primelaw/)
10:35:57	28409/28409	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2011:33:17%20GMT	https://colorlib.com/preview/theme/primelaw/index.html	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/index-2.html	(from https://colorlib.com/preview/theme/primelaw/)
10:35:57	18247/18247	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2011:33:08%20GMT	https://colorlib.com/preview/theme/primelaw/about.html	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/about.html	(from https://colorlib.com/preview/theme/primelaw/)
10:35:57	11919/11919	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2011:33:18%20GMT	https://colorlib.com/preview/theme/primelaw/practice.html	C:/My%20Web%20Sites/prime%20law/colorlib.com/preview/theme/primelaw/practice.html	(from https://colorlib.com/preview/theme/primelaw/)
